,name_dk_wk4,position_dk_wk4,team_draft_wk4,opponent_fd_wk4,salary_dk_wk4,salary_fd_wk4,salary_draft_wk4,fd_adj_wk4,draft_adj_wk4,adj_fd-dk_wk4,adj_draft-dk_wk4,fd-dk_wk4,draft-dk_wk4,draft-fd_wk4,ppg_draft_wk4,ppg_dk_wk4,ppg_fd_wk4,ppg_diff_wk4
0,Christian McCaffrey,RB,Panthers,HOU,8800.0,9000.0,17700.0,7500.0,8850.0,-1300.0,50.0,200.0,8900.0,8700.0,28.0,28.0,23.5,4.5
1,Saquon Barkley,RB,Giants,WAS,8500.0,9200.0,16000.0,7667.0,8000.0,-833.0,-500.0,700.0,7500.0,6800.0,18.03,18.03,14.2,3.830000000000002
2,Dalvin Cook,RB,Vikings,CHI,8300.0,8300.0,15600.0,6917.0,7800.0,-1383.0,-500.0,0.0,7300.0,7300.0,29.13,29.13,24.6,4.529999999999998
3,Austin Ekeler,RB,Chargers,MIA,8000.0,8100.0,15100.0,6750.0,7550.0,-1250.0,-450.0,100.0,7100.0,7000.0,26.26,26.27,22.8,3.469999999999999
4,Julio Jones,WR,Falcons,TEN,7800.0,8500.0,14600.0,7083.0,7300.0,-717.0,-500.0,700.0,6800.0,6100.0,25.16,25.17,20.0,5.170000000000002
5,DeAndre Hopkins,WR,Texans,CAR,7700.0,8700.0,14500.0,7250.0,7250.0,-450.0,-450.0,1000.0,6800.0,5800.0,18.6,18.6,14.4,4.200000000000001
6,Melvin Gordon III,RB,Chargers,MIA,7700.0,4500.0,14500.0,3750.0,7250.0,-3950.0,-450.0,-3200.0,6800.0,10000.0,0.0,0.0,20.9,-20.9
7,Keenan Allen,WR,Chargers,MIA,7600.0,8100.0,15700.0,6750.0,7850.0,-850.0,250.0,500.0,8100.0,7600.0,31.23,31.23,24.4,6.830000000000002
8,Patrick Mahomes,QB,Chiefs,DET,7500.0,9200.0,14400.0,7667.0,7200.0,167.0,-300.0,1700.0,6900.0,5200.0,32.26,32.27,28.9,3.3700000000000045
9,Odell Beckham Jr.,WR,Browns,BAL,7300.0,7900.0,12900.0,6583.0,6450.0,-717.0,-850.0,600.0,5600.0,5000.0,18.93,18.93,14.8,4.129999999999999
10,Travis Kelce,TE,Chiefs,DET,7200.0,7600.0,13400.0,6333.0,6700.0,-867.0,-500.0,400.0,6200.0,5800.0,18.13,18.13,14.3,3.8299999999999983
11,Mike Evans,WR,Buccaneers,LAR,7100.0,7700.0,14500.0,6417.0,7250.0,-683.0,150.0,600.0,7400.0,6800.0,20.96,20.97,17.6,3.3699999999999974
12,Tyreek Hill,WR,Chiefs,DET,7000.0,7600.0,13200.0,6333.0,6600.0,-667.0,-400.0,600.0,6200.0,5600.0,4.1,4.1,3.1,0.9999999999999996
13,Todd Gurley II,RB,Rams,TB,7000.0,6800.0,12000.0,5667.0,6000.0,-1333.0,-1000.0,-200.0,5000.0,5200.0,10.36,10.37,9.7,0.6699999999999999
14,Lamar Jackson,QB,Ravens,CLE,6900.0,8300.0,12900.0,6917.0,6450.0,17.0,-450.0,1400.0,6000.0,4600.0,30.57,30.57,28.6,1.9699999999999989
15,David Johnson,RB,Cardinals,SEA,6800.0,6800.0,12400.0,5667.0,6200.0,-1133.0,-600.0,0.0,5600.0,5600.0,17.53,17.53,15.4,2.130000000000001
16,Sammy Watkins,WR,Chiefs,DET,6700.0,6900.0,12600.0,5750.0,6300.0,-950.0,-400.0,200.0,5900.0,5700.0,24.03,24.03,19.7,4.330000000000002
17,Mark Ingram II,RB,Ravens,CLE,6600.0,7800.0,12300.0,6500.0,6150.0,-100.0,-450.0,1200.0,5700.0,4500.0,24.63,24.63,21.6,3.0299999999999976
18,Tom Brady,QB,Patriots,BUF,6600.0,7800.0,11900.0,6500.0,5950.0,-100.0,-650.0,1200.0,5300.0,4100.0,25.48,25.48,23.5,1.9800000000000004
19,Adam Thielen,WR,Vikings,CHI,6600.0,7000.0,12300.0,5833.0,6150.0,-767.0,-450.0,400.0,5700.0,5300.0,15.46,15.47,13.6,1.870000000000001
20,Julian Edelman,WR,Patriots,BUF,6500.0,6900.0,13500.0,5750.0,6750.0,-750.0,250.0,400.0,7000.0,6600.0,14.92,14.93,12.1,2.83
21,Cooper Kupp,WR,Rams,TB,6500.0,7000.0,12200.0,5833.0,6100.0,-667.0,-400.0,500.0,5700.0,5200.0,22.8,22.8,17.0,5.800000000000001
22,Nick Chubb,RB,Browns,BAL,6400.0,7300.0,11500.0,6083.0,5750.0,-317.0,-650.0,900.0,5100.0,4200.0,16.13,16.13,14.3,1.8299999999999983
23,Deshaun Watson,QB,Texans,CAR,6400.0,8200.0,12100.0,6833.0,6050.0,433.0,-350.0,1800.0,5700.0,3900.0,24.8,24.81,23.5,1.3099999999999987
24,T.Y. Hilton,WR,Colts,OAK,6400.0,7400.0,12100.0,6167.0,6050.0,-233.0,-350.0,1000.0,5700.0,4700.0,21.16,21.17,17.8,3.370000000000001
25,Derrick Henry,RB,Titans,ATL,6300.0,7000.0,11800.0,5833.0,5900.0,-467.0,-400.0,700.0,5500.0,4800.0,19.3,19.3,18.6,0.6999999999999993
26,Tyler Lockett,WR,Seahawks,ARI,6300.0,6600.0,12000.0,5500.0,6000.0,-800.0,-300.0,300.0,5700.0,5400.0,21.56,21.57,16.9,4.670000000000002
27,Jared Goff,QB,Rams,TB,6300.0,7700.0,12000.0,6417.0,6000.0,117.0,-300.0,1400.0,5700.0,4300.0,15.9,15.91,15.2,0.7100000000000009
28,Philip Rivers,QB,Chargers,MIA,6200.0,7800.0,12800.0,6500.0,6400.0,300.0,200.0,1600.0,6600.0,5000.0,21.15,21.15,18.8,2.349999999999998
29,Brandin Cooks,WR,Rams,TB,6200.0,7300.0,11600.0,6083.0,5800.0,-117.0,-400.0,1100.0,5400.0,4300.0,15.16,15.17,12.0,3.17
30,Marlon Mack,RB,Colts,OAK,6100.0,7300.0,11400.0,6083.0,5700.0,-17.0,-400.0,1200.0,5300.0,4100.0,17.83,17.83,16.2,1.629999999999999
31,Russell Wilson,QB,Seahawks,ARI,6100.0,7800.0,11400.0,6500.0,5700.0,400.0,-400.0,1700.0,5300.0,3600.0,29.71,29.71,27.4,2.3100000000000023
32,Robert Woods,WR,Rams,TB,6100.0,7100.0,12300.0,5917.0,6150.0,-183.0,50.0,1000.0,6200.0,5200.0,10.53,10.53,8.4,2.129999999999999
33,Kyler Murray,QB,Cardinals,SEA,6000.0,7600.0,11300.0,6333.0,5650.0,333.0,-350.0,1600.0,5300.0,3700.0,21.6,21.6,19.6,2.0
34,Chris Godwin,WR,Buccaneers,LAR,6000.0,7100.0,12400.0,5917.0,6200.0,-83.0,200.0,1100.0,6400.0,5300.0,16.8,16.8,13.5,3.3000000000000007
35,Leonard Fournette,RB,Jaguars,DEN,6000.0,6400.0,10900.0,5333.0,5450.0,-667.0,-550.0,400.0,4900.0,4500.0,13.43,13.43,10.8,2.629999999999999
36,Matt Ryan,QB,Falcons,TEN,5900.0,7900.0,10600.0,6583.0,5300.0,683.0,-600.0,2000.0,4700.0,2700.0,25.04,25.04,22.0,3.039999999999999
37,Josh Gordon,WR,Patriots,BUF,5900.0,6200.0,11000.0,5167.0,5500.0,-733.0,-400.0,300.0,5100.0,4800.0,11.53,11.53,9.7,1.83
38,Kenny Golladay,WR,Lions,KC,5900.0,6700.0,11000.0,5583.0,5500.0,-317.0,-400.0,800.0,5100.0,4300.0,15.53,15.53,12.2,3.33
39,Baker Mayfield,QB,Browns,BAL,5800.0,7500.0,10200.0,6250.0,5100.0,450.0,-700.0,1700.0,4400.0,2700.0,14.03,14.03,13.0,1.0299999999999994
40,Marquise Brown,WR,Ravens,CLE,5800.0,5700.0,10900.0,4750.0,5450.0,-1050.0,-350.0,-100.0,5100.0,5200.0,19.06,19.07,15.7,3.370000000000001
41,Sterling Shepard,WR,Giants,WAS,5800.0,6500.0,11000.0,5417.0,5500.0,-383.0,-300.0,700.0,5200.0,4500.0,20.15,20.15,15.4,4.749999999999998
42,Tyrell Williams,WR,Raiders,IND,5700.0,5900.0,10700.0,4917.0,5350.0,-783.0,-350.0,200.0,5000.0,4800.0,17.66,17.67,14.3,3.370000000000001
43,Evan Engram,TE,Giants,WAS,5700.0,6800.0,12300.0,5667.0,6150.0,-33.0,450.0,1100.0,6600.0,5500.0,22.9,22.9,17.1,5.799999999999997
44,Chris Carson,RB,Seahawks,ARI,5700.0,7000.0,10200.0,5833.0,5100.0,133.0,-600.0,1300.0,4500.0,3200.0,13.6,13.6,10.9,2.6999999999999993
45,Jameis Winston,QB,Buccaneers,LAR,5700.0,7500.0,10700.0,6250.0,5350.0,550.0,-350.0,1800.0,5000.0,3200.0,17.59,17.59,16.6,0.9899999999999984
46,Josh Allen,QB,Bills,NE,5600.0,7400.0,11600.0,6167.0,5800.0,567.0,200.0,1800.0,6000.0,4200.0,20.5,20.5,19.8,0.6999999999999993
47,LeSean McCoy,RB,Chiefs,DET,5600.0,6300.0,11200.0,5250.0,5600.0,-350.0,0.0,700.0,5600.0,4900.0,12.86,12.87,11.7,1.17
48,DJ Moore,WR,Panthers,HOU,5600.0,6400.0,10500.0,5333.0,5250.0,-267.0,-350.0,800.0,4900.0,4100.0,14.96,14.97,11.8,3.17
49,Larry Fitzgerald,WR,Cardinals,SEA,5600.0,5900.0,10600.0,4917.0,5300.0,-683.0,-300.0,300.0,5000.0,4700.0,20.43,20.43,15.4,5.029999999999999
50,Allen Robinson II,WR,Bears,MIN,5600.0,7000.0,10600.0,5833.0,5300.0,233.0,-300.0,1400.0,5000.0,3600.0,14.15,13.43,9.6,3.83
51,Sony Michel,RB,Patriots,BUF,5500.0,6100.0,9900.0,5083.0,4950.0,-417.0,-550.0,600.0,4400.0,3800.0,7.26,7.27,6.9,0.3699999999999992
52,Matthew Stafford,QB,Lions,KC,5500.0,6900.0,11200.0,5750.0,5600.0,250.0,100.0,1400.0,5700.0,4300.0,20.28,20.28,18.9,1.3800000000000026
53,Cam Newton,QB,Panthers,HOU,5500.0,7700.0,10400.0,6417.0,5200.0,917.0,-300.0,2200.0,4900.0,2700.0,11.34,11.34,8.8,2.539999999999999
54,Stefon Diggs,WR,Vikings,CHI,5500.0,6100.0,9900.0,5083.0,4950.0,-417.0,-550.0,600.0,4400.0,3800.0,7.03,7.03,5.7,1.33
55,Dede Westbrook,WR,Jaguars,DEN,5500.0,5300.0,10000.0,4417.0,5000.0,-1083.0,-500.0,-200.0,4500.0,4700.0,8.5,8.5,6.7,1.7999999999999998
56,Kerryon Johnson,RB,Lions,KC,5400.0,6500.0,9900.0,5417.0,4950.0,17.0,-450.0,1100.0,4500.0,3400.0,12.1,12.1,11.3,0.7999999999999989
57,Damien Williams,RB,Chiefs,DET,5400.0,6400.0,10100.0,5333.0,5050.0,-67.0,-350.0,1000.0,4700.0,3700.0,13.55,13.55,11.3,2.25
58,Marvin Jones Jr.,WR,Lions,KC,5400.0,5900.0,10600.0,4917.0,5300.0,-483.0,-100.0,500.0,5200.0,4700.0,14.8,14.8,11.3,3.5
59,Jacoby Brissett,QB,Colts,OAK,5400.0,7300.0,12000.0,6083.0,6000.0,683.0,600.0,1900.0,6600.0,4700.0,19.54,19.55,18.2,1.3500000000000014
60,John Brown,WR,Bills,NE,5300.0,5600.0,10200.0,4667.0,5100.0,-633.0,-200.0,300.0,4900.0,4600.0,17.33,17.33,13.3,4.029999999999998
61,Derek Carr,QB,Raiders,IND,5300.0,6800.0,10500.0,5667.0,5250.0,367.0,-50.0,1500.0,5200.0,3700.0,14.32,14.32,14.3,0.019999999999999574
62,Daniel Jones,QB,Giants,WAS,5300.0,7300.0,10900.0,6083.0,5450.0,783.0,150.0,2000.0,5600.0,3600.0,19.71,19.71,16.7,3.0100000000000016
63,David Montgomery,RB,Bears,MIN,5300.0,6000.0,10000.0,5000.0,5000.0,-300.0,-300.0,700.0,4700.0,4000.0,9.65,10.13,9.3,0.8300000000000001
64,Demarcus Robinson,WR,Chiefs,DET,5200.0,6700.0,10200.0,5583.0,5100.0,383.0,-100.0,1500.0,5000.0,3500.0,17.5,17.5,14.8,2.6999999999999993
65,Kyle Allen,QB,Panthers,HOU,5200.0,6800.0,10700.0,5667.0,5350.0,467.0,150.0,1600.0,5500.0,3900.0,25.34,25.34,24.3,1.0399999999999991
66,Darren Waller,TE,Raiders,IND,5200.0,6700.0,10900.0,5583.0,5450.0,383.0,250.0,1500.0,5700.0,4200.0,18.8,18.8,13.5,5.300000000000001
67,Gardner Minshew II,QB,Jaguars,DEN,5200.0,6700.0,10200.0,5583.0,5100.0,383.0,-100.0,1500.0,5000.0,3500.0,17.89,17.89,17.6,0.28999999999999915
68,Phillip Lindsay,RB,Broncos,JAC,5200.0,6900.0,10200.0,5750.0,5100.0,550.0,-100.0,1700.0,5000.0,3300.0,16.73,16.73,14.7,2.030000000000001
69,Marcus Mariota,QB,Titans,ATL,5100.0,6900.0,10200.0,5750.0,5100.0,650.0,0.0,1800.0,5100.0,3300.0,18.74,18.75,17.7,1.0500000000000007
70,Jarvis Landry,WR,Browns,BAL,5100.0,6200.0,9400.0,5167.0,4700.0,67.0,-400.0,1100.0,4300.0,3200.0,9.03,9.03,7.4,1.629999999999999
71,Mecole Hardman,WR,Chiefs,DET,5100.0,6500.0,10600.0,5417.0,5300.0,317.0,200.0,1400.0,5500.0,4100.0,11.5,11.5,10.5,1.0
72,Josh Jacobs,RB,Raiders,IND,5100.0,6000.0,10900.0,5000.0,5450.0,-100.0,350.0,900.0,5800.0,4900.0,12.86,12.87,12.7,0.16999999999999993
73,Christian Kirk,WR,Cardinals,SEA,5100.0,5900.0,10500.0,4917.0,5250.0,-183.0,150.0,800.0,5400.0,4600.0,15.56,15.57,11.2,4.370000000000001
74,DJ Chark Jr.,WR,Jaguars,DEN,5100.0,6000.0,10200.0,5000.0,5100.0,-100.0,0.0,900.0,5100.0,4200.0,21.23,21.23,17.7,3.530000000000001
75,Devonta Freeman,RB,Falcons,TEN,5000.0,6200.0,9500.0,5167.0,4750.0,167.0,-250.0,1200.0,4500.0,3300.0,9.0,9.0,7.2,1.7999999999999998
76,Calvin Ridley,WR,Falcons,TEN,5000.0,5800.0,9300.0,4833.0,4650.0,-167.0,-350.0,800.0,4300.0,3500.0,15.16,15.17,12.0,3.17
77,Mark Andrews,TE,Ravens,CLE,5000.0,6100.0,9400.0,5083.0,4700.0,83.0,-300.0,1100.0,4400.0,3300.0,20.16,20.17,15.0,5.170000000000002
78,Golden Tate,WR,Giants,WAS,5000.0,4500.0,9800.0,3750.0,4900.0,-1250.0,-100.0,-500.0,4800.0,5300.0,0.0,0.0,9.7,-9.7
79,Mitchell Trubisky,QB,Bears,MIN,5000.0,6800.0,10500.0,5667.0,5250.0,667.0,250.0,1800.0,5500.0,3700.0,7.41,11.75,11.8,-0.05000000000000071
80,Kirk Cousins,QB,Vikings,CHI,5000.0,6900.0,10000.0,5750.0,5000.0,750.0,0.0,1900.0,5000.0,3100.0,12.92,12.93,12.6,0.33000000000000007
81,James White,RB,Patriots,BUF,4900.0,6200.0,9700.0,5167.0,4850.0,267.0,-50.0,1300.0,4800.0,3500.0,12.55,12.55,10.6,1.950000000000001
82,Parris Campbell,WR,Colts,OAK,4900.0,5600.0,10300.0,4667.0,5150.0,-233.0,250.0,700.0,5400.0,4700.0,5.13,5.13,4.3,0.8300000000000001
83,Case Keenum,QB,Redskins,NYG,4900.0,7200.0,10900.0,6000.0,5450.0,1100.0,550.0,2300.0,6000.0,3700.0,23.47,22.17,19.5,2.6700000000000017
84,Emmanuel Sanders,WR,Broncos,JAC,4900.0,5500.0,9300.0,4583.0,4650.0,-317.0,-250.0,600.0,4400.0,3800.0,17.13,17.13,14.1,3.0299999999999994
85,Delanie Walker,TE,Titans,ATL,4800.0,5700.0,8500.0,4750.0,4250.0,-50.0,-550.0,900.0,3700.0,2800.0,14.6,14.6,11.9,2.6999999999999993
86,Mike Williams,WR,Chargers,MIA,4800.0,6100.0,10300.0,5083.0,5150.0,283.0,350.0,1300.0,5500.0,4200.0,7.9,7.9,6.6,1.3000000000000007
87,Eli Manning,QB,Giants,WAS,4800.0,6000.0,10000.0,5000.0,5000.0,200.0,200.0,1200.0,5200.0,4000.0,15.52,15.52,13.5,2.0199999999999996
88,DK Metcalf,WR,Seahawks,ARI,4800.0,6100.0,9400.0,5083.0,4700.0,283.0,-100.0,1300.0,4600.0,3300.0,12.23,12.23,10.7,1.5300000000000011
89,Royce Freeman,RB,Broncos,JAC,4800.0,5500.0,9000.0,4583.0,4500.0,-217.0,-300.0,700.0,4200.0,3500.0,11.2,11.2,9.5,1.6999999999999993
90,Phillip Dorsett II,WR,Patriots,BUF,4700.0,5900.0,9900.0,4917.0,4950.0,217.0,250.0,1200.0,5200.0,4000.0,16.96,16.97,14.8,2.169999999999998
91,Cole Beasley,WR,Bills,NE,4700.0,5200.0,9000.0,4333.0,4500.0,-367.0,-200.0,500.0,4300.0,3800.0,12.03,12.03,9.2,2.83
92,Darrel Williams,RB,Chiefs,DET,4700.0,5500.0,9200.0,4583.0,4600.0,-117.0,-100.0,800.0,4500.0,3700.0,5.3,5.3,13.4,-8.100000000000001
93,Dwayne Haskins Jr.,QB,Redskins,NYG,4700.0,6000.0,10000.0,5000.0,5000.0,300.0,300.0,1300.0,5300.0,4000.0,0.0,0.0,0.0,0.0
94,Curtis Samuel,WR,Panthers,HOU,4600.0,5800.0,9900.0,4833.0,4950.0,233.0,350.0,1200.0,5300.0,4100.0,12.26,12.27,10.1,2.17
95,Wayne Gallman Jr.,RB,Giants,WAS,4600.0,5800.0,10800.0,4833.0,5400.0,233.0,800.0,1200.0,6200.0,5000.0,4.8,4.8,4.3,0.5
96,Tarik Cohen,RB,Bears,MIN,4600.0,5800.0,9100.0,4833.0,4550.0,233.0,-50.0,1200.0,4500.0,3300.0,8.7,7.27,5.3,1.9699999999999998
97,Joe Flacco,QB,Broncos,JAC,4600.0,6400.0,10200.0,5333.0,5100.0,733.0,500.0,1800.0,5600.0,3800.0,12.84,12.84,12.5,0.33999999999999986
98,Courtland Sutton,WR,Broncos,JAC,4600.0,5700.0,9300.0,4750.0,4650.0,150.0,50.0,1100.0,4700.0,3600.0,14.56,14.57,10.9,3.67
99,Will Fuller V,WR,Texans,CAR,4500.0,5900.0,9400.0,4917.0,4700.0,417.0,200.0,1400.0,4900.0,3500.0,9.0,9.0,7.2,1.7999999999999998
100,Zach Pascal,WR,Colts,OAK,4500.0,5400.0,9400.0,4500.0,4700.0,0.0,200.0,900.0,4900.0,4000.0,4.43,4.43,12.3,-7.870000000000001
101,Josh Rosen,QB,Dolphins,LAC,4500.0,6200.0,10000.0,5167.0,5000.0,667.0,500.0,1700.0,5500.0,3800.0,3.79,3.79,3.8,-0.009999999999999787
102,Chris Thompson,RB,Redskins,NYG,4500.0,5300.0,8800.0,4417.0,4400.0,-83.0,-100.0,800.0,4300.0,3500.0,12.45,13.23,10.6,2.630000000000001
103,Terry McLaurin,WR,Redskins,NYG,4500.0,6300.0,8800.0,5250.0,4400.0,750.0,-100.0,1800.0,4300.0,2500.0,21.85,20.9,17.2,3.6999999999999993
104,Willie Snead IV,WR,Ravens,CLE,4400.0,5000.0,8000.0,4167.0,4000.0,-233.0,-400.0,600.0,3600.0,3000.0,7.1,7.1,6.1,1.0
105,Frank Gore,RB,Bills,NE,4400.0,5700.0,8700.0,4750.0,4350.0,350.0,-50.0,1300.0,4300.0,3000.0,11.73,11.73,11.1,0.6300000000000008
106,Rex Burkhead,RB,Patriots,BUF,4400.0,5600.0,8300.0,4667.0,4150.0,267.0,-250.0,1200.0,3900.0,2700.0,13.73,13.73,11.6,2.130000000000001
107,Ryan Fitzpatrick,QB,Dolphins,LAC,4400.0,6000.0,10000.0,5000.0,5000.0,600.0,600.0,1600.0,5600.0,4000.0,4.5,4.51,4.5,0.009999999999999787
108,Malcolm Brown,RB,Rams,TB,4400.0,5500.0,9400.0,4583.0,4700.0,183.0,300.0,1100.0,5000.0,3900.0,7.9,7.9,7.7,0.20000000000000018
109,Ronald Jones II,RB,Buccaneers,LAR,4400.0,5100.0,8700.0,4250.0,4350.0,-150.0,-50.0,700.0,4300.0,3600.0,8.1,8.1,7.8,0.2999999999999998
110,Chase Daniel,QB,Bears,MIN,4400.0,6000.0,10000.0,5000.0,5000.0,600.0,600.0,1600.0,5600.0,4000.0,0.0,0.0,8.1,-8.1
111,Ryan Tannehill,QB,Titans,ATL,4300.0,6000.0,10000.0,5000.0,5000.0,700.0,700.0,1700.0,5700.0,4000.0,-0.2,-0.2,-0.2,0.0
112,Austin Hooper,TE,Falcons,TEN,4300.0,6400.0,8000.0,5333.0,4000.0,1033.0,-300.0,2100.0,3700.0,1600.0,16.23,16.23,13.1,3.130000000000001
113,Darwin Thompson,RB,Chiefs,DET,4300.0,4500.0,8400.0,3750.0,4200.0,-550.0,-100.0,200.0,4100.0,3900.0,0.73,0.73,0.6,0.13
114,Carlos Hyde,RB,Texans,CAR,4300.0,5900.0,8900.0,4917.0,4450.0,617.0,150.0,1600.0,4600.0,3000.0,8.8,8.8,8.6,0.20000000000000107
